Net generation for all sectors annual
https://www.eia.gov/electricity/data/browser/#/topic/0?agg=2,0,1&fuel=0041&geo=vvvvvvvvvvvvo&sec=g&linechart=ELEC.GEN.SUN-US-99.A&columnchart=ELEC.GEN.SUN-US-99.A&map=ELEC.GEN.SUN-US-99.A&freq=A&start=2001&end=2022&ctype=linechart&ltype=pin&rtype=s&pin=&rse=0&maptype=0
23:13:36 GMT-0400 (Eastern Daylight Time)
Data source: U.S. Energy Information Administration
Year,United States : all utility-scale solar thousand megawatthours
2022,145598.31325
2021,115258.24834
2020,89198.71512
2019,71936.82224
2018,63825.31453
2017,53286.86507
2016,36054.12115
2015,24892.9036
2014,17691.03119
2013,9035.62038
2012,4326.67524
2011,1817.69565
2010,1212.18158
2009,891.17939
2008,864.31479
2007,611.793
2006,507.706
2005,550.29434
2004,575.155
2003,534.00137
2002,554.831
2001,542.755
