Net generation wind all sectors annual
https://www.eia.gov/electricity/data/browser/#/topic/0?agg=1,0,2&fuel=008&geo=vvvvvvvvvvvvo&sec=o3g&linechart=ELEC.GEN.WND-US-99.A~ELEC.GEN.WND-IA-99.A~ELEC.GEN.WND-TX-99.A&columnchart=ELEC.GEN.WND-US-99.A~ELEC.GEN.WND-IA-99.A~ELEC.GEN.WND-TX-99.A&map=ELEC.GEN.WND-US-99.A&freq=A&ctype=linechart&ltype=pin&rtype=s&pin=&rse=0&maptype=0
23:14:03 GMT-0400 (Eastern Daylight Time)
Data source: U.S. Energy Information Administration
Year,United States thousand megawatthours,Iowa thousand megawatthours,Texas thousand megawatthours
2022,434811.64899,44664.13426,113880.40978
2021,378196.77482,37098.274,99474.21553
2020,337938.04903,34182.302,92440.99742
2019,295882.48349,26304.99,83620.37059
2018,272667.45372,21334.05656,75700.43368
2017,254302.69522,21372.75248,67060.99652
2016,226992.56213,20071.999,57530.784
2015,190718.54771,17872.63168,44833.365
2014,181655.2818,16306.75453,40005.1235
2013,167839.74544,15568.40641,35873.62094
2012,140821.71472,14032.49227,32214.17265
2011,120176.59863,10709.17691,30548.08723
2010,94652.24608,9170.3372,26251.40954
2009,73886.13171,7420.51961,20026.103
2008,55363.10007,4083.787,16225.0217
2007,34449.9274,2756.676,9006.383
2006,26589.13699,2317.821,6670.515
2005,17810.54902,1647.134,4237.209
2004,14143.74074,1049.95153,3137.69
2003,11187.467,981.97,2569.853
2002,10354.279,918.835,2656.104
2001,6737.332,487.864,1187.51
